,0
LNR,9626.0
AKT_DAT_KL,1.0
ALTER_HH,10.0
ALTERSKATEGORIE_FEIN,10.0
ANZ_HAUSHALTE_AKTIV,1.0
ANZ_KINDER,0.0
ANZ_PERSONEN,2.0
ANZ_STATISTISCHE_HAUSHALTE,1.0
ARBEIT,1.0
BALLRAUM,3.0
CAMEO_DEU_2015,1A
CAMEO_DEUG_2015,1.0
CAMEO_INTL_2015,13.0
CJT_GESAMTTYP,5.0
CJT_KATALOGNUTZER,4.0
CJT_TYP_1,1.0
CJT_TYP_2,1.0
CJT_TYP_3,5.0
CJT_TYP_4,5.0
CJT_TYP_5,5.0
CJT_TYP_6,5.0
D19_BANKEN_ANZ_12,0
D19_BANKEN_ANZ_24,0
D19_BANKEN_DATUM,10
D19_BANKEN_DIREKT,0
D19_BANKEN_GROSS,0
D19_BANKEN_LOKAL,0
D19_BANKEN_OFFLINE_DATUM,10
D19_BANKEN_ONLINE_DATUM,10
D19_BANKEN_ONLINE_QUOTE_12,0.0
D19_BANKEN_REST,0
D19_BEKLEIDUNG_GEH,0
D19_BEKLEIDUNG_REST,0
D19_BILDUNG,0
D19_BIO_OEKO,0
D19_BUCH_CD,6
D19_DIGIT_SERV,0
D19_DROGERIEARTIKEL,0
D19_ENERGIE,0
D19_FREIZEIT,0
D19_GARTEN,0
D19_GESAMT_ANZ_12,0
D19_GESAMT_ANZ_24,0
D19_GESAMT_DATUM,9
D19_GESAMT_OFFLINE_DATUM,9
D19_GESAMT_ONLINE_DATUM,10
D19_GESAMT_ONLINE_QUOTE_12,0.0
D19_HANDWERK,0
D19_HAUS_DEKO,6
D19_KINDERARTIKEL,0
D19_KONSUMTYP,3.0
D19_KONSUMTYP_MAX,2.0
D19_KOSMETIK,0
D19_LEBENSMITTEL,6
D19_LETZTER_KAUF_BRANCHE,D19_UNBEKANNT
D19_LOTTO,0.0
D19_NAHRUNGSERGAENZUNG,0
D19_RATGEBER,0
D19_REISEN,0
D19_SAMMELARTIKEL,6
D19_SCHUHE,0
D19_SONSTIGE,6
D19_SOZIALES,1.0
D19_TECHNIK,6
D19_TELKO_ANZ_12,0
D19_TELKO_ANZ_24,0
D19_TELKO_DATUM,10
D19_TELKO_MOBILE,0
D19_TELKO_OFFLINE_DATUM,10
D19_TELKO_ONLINE_DATUM,10
D19_TELKO_ONLINE_QUOTE_12,0.0
D19_TELKO_REST,0
D19_TIERARTIKEL,0
D19_VERSAND_ANZ_12,0
D19_VERSAND_ANZ_24,0
D19_VERSAND_DATUM,9
D19_VERSAND_OFFLINE_DATUM,9
D19_VERSAND_ONLINE_DATUM,10
D19_VERSAND_ONLINE_QUOTE_12,0.0
D19_VERSAND_REST,0
D19_VERSI_ANZ_12,0
D19_VERSI_ANZ_24,0
D19_VERSI_DATUM,10.0
D19_VERSI_OFFLINE_DATUM,10.0
D19_VERSI_ONLINE_DATUM,10.0
D19_VERSI_ONLINE_QUOTE_12,0.0
D19_VERSICHERUNGEN,0
D19_VOLLSORTIMENT,0
D19_WEIN_FEINKOST,0
DSL_FLAG,1.0
EINGEFUEGT_AM,1992-02-12 00:00:00
EINGEZOGENAM_HH_JAHR,1994.0
EWDICHTE,2.0
FINANZ_ANLEGER,1
FINANZ_HAUSBAUER,2
FINANZ_MINIMALIST,5
FINANZ_SPARER,1
FINANZ_UNAUFFAELLIGER,2
FINANZ_VORSORGER,5
FINANZTYP,2
FIRMENDICHTE,4.0
GEBAEUDETYP,1.0
GEBAEUDETYP_RASTER,4.0
GEMEINDETYP,50.0
GFK_URLAUBERTYP,4.0
GREEN_AVANTGARDE,1
HEALTH_TYP,1.0
HH_DELTA_FLAG,0.0
HH_EINKOMMEN_SCORE,1.0
INNENSTADT,4.0
KBA05_ALTER1,2.0
KBA05_ALTER2,2.0
KBA05_ALTER3,4.0
KBA05_ALTER4,4.0
KBA05_ANHANG,1.0
KBA05_ANTG1,2.0
KBA05_ANTG2,2.0
KBA05_ANTG3,0.0
KBA05_ANTG4,0.0
KBA05_AUTOQUOT,5.0
KBA05_CCM1,3.0
KBA05_CCM2,3.0
KBA05_CCM3,3.0
KBA05_CCM4,1.0
KBA05_DIESEL,1.0
KBA05_FRAU,4.0
KBA05_GBZ,4.0
KBA05_HERST1,4.0
KBA05_HERST2,3.0
KBA05_HERST3,3.0
KBA05_HERST4,2.0
KBA05_HERST5,2.0
KBA05_HERSTTEMP,2.0
KBA05_KRSAQUOT,4.0
KBA05_KRSHERST1,4.0
KBA05_KRSHERST2,3.0
KBA05_KRSHERST3,3.0
KBA05_KRSKLEIN,2.0
KBA05_KRSOBER,3.0
KBA05_KRSVAN,3.0
KBA05_KRSZUL,2.0
KBA05_KW1,3.0
KBA05_KW2,3.0
KBA05_KW3,3.0
KBA05_MAXAH,5.0
KBA05_MAXBJ,2.0
KBA05_MAXHERST,2.0
KBA05_MAXSEG,3.0
KBA05_MAXVORB,2.0
KBA05_MOD1,2.0
KBA05_MOD2,4.0
KBA05_MOD3,3.0
KBA05_MOD4,4.0
KBA05_MOD8,2.0
KBA05_MODTEMP,2.0
KBA05_MOTOR,4.0
KBA05_MOTRAD,1.0
KBA05_SEG1,1.0
KBA05_SEG10,2.0
KBA05_SEG2,3.0
KBA05_SEG3,2.0
KBA05_SEG4,3.0
KBA05_SEG5,3.0
KBA05_SEG6,1.0
KBA05_SEG7,0.0
KBA05_SEG8,1.0
KBA05_SEG9,2.0
KBA05_VORB0,4.0
KBA05_VORB1,3.0
KBA05_VORB2,2.0
KBA05_ZUL1,3.0
KBA05_ZUL2,4.0
KBA05_ZUL3,2.0
KBA05_ZUL4,3.0
KBA13_ALTERHALTER_30,1.0
KBA13_ALTERHALTER_45,2.0
KBA13_ALTERHALTER_60,5.0
KBA13_ALTERHALTER_61,3.0
KBA13_ANTG1,3.0
KBA13_ANTG2,3.0
KBA13_ANTG3,1.0
KBA13_ANTG4,0.0
KBA13_ANZAHL_PKW,1201.0
KBA13_AUDI,4.0
KBA13_AUTOQUOTE,4.0
KBA13_BAUMAX,1.0
KBA13_BJ_1999,3.0
KBA13_BJ_2000,2.0
KBA13_BJ_2004,3.0
KBA13_BJ_2006,3.0
KBA13_BJ_2008,4.0
KBA13_BJ_2009,3.0
KBA13_BMW,5.0
KBA13_CCM_0_1400,2.0
KBA13_CCM_1000,3.0
KBA13_CCM_1200,2.0
KBA13_CCM_1400,3.0
KBA13_CCM_1401_2500,4.0
KBA13_CCM_1500,4.0
KBA13_CCM_1600,2.0
KBA13_CCM_1800,3.0
KBA13_CCM_2000,4.0
KBA13_CCM_2500,4.0
KBA13_CCM_2501,0.0
KBA13_CCM_3000,3.0
KBA13_CCM_3001,3.0
KBA13_FAB_ASIEN,2.0
KBA13_FAB_SONSTIGE,3.0
KBA13_FIAT,3.0
KBA13_FORD,3.0
KBA13_GBZ,5.0
KBA13_HALTER_20,1.0
KBA13_HALTER_25,1.0
KBA13_HALTER_30,1.0
KBA13_HALTER_35,3.0
KBA13_HALTER_40,3.0
KBA13_HALTER_45,2.0
KBA13_HALTER_50,4.0
KBA13_HALTER_55,5.0
KBA13_HALTER_60,5.0
KBA13_HALTER_65,4.0
KBA13_HALTER_66,3.0
KBA13_HERST_ASIEN,2.0
KBA13_HERST_AUDI_VW,4.0
KBA13_HERST_BMW_BENZ,4.0
KBA13_HERST_EUROPA,2.0
KBA13_HERST_FORD_OPEL,3.0
KBA13_HERST_SONST,3.0
KBA13_HHZ,5.0
KBA13_KMH_0_140,3.0
KBA13_KMH_110,2.0
KBA13_KMH_140,4.0
KBA13_KMH_140_210,3.0
KBA13_KMH_180,2.0
KBA13_KMH_210,4.0
KBA13_KMH_211,3.0
KBA13_KMH_250,3.0
KBA13_KMH_251,1.0
KBA13_KRSAQUOT,3.0
KBA13_KRSHERST_AUDI_VW,4.0
KBA13_KRSHERST_BMW_BENZ,3.0
KBA13_KRSHERST_FORD_OPEL,3.0
KBA13_KRSSEG_KLEIN,2.0
KBA13_KRSSEG_OBER,2.0
KBA13_KRSSEG_VAN,2.0
KBA13_KRSZUL_NEU,3.0
KBA13_KW_0_60,3.0
KBA13_KW_110,4.0
KBA13_KW_120,3.0
KBA13_KW_121,3.0
KBA13_KW_30,2.0
KBA13_KW_40,3.0
KBA13_KW_50,2.0
KBA13_KW_60,3.0
KBA13_KW_61_120,3.0
KBA13_KW_70,3.0
KBA13_KW_80,2.0
KBA13_KW_90,3.0
KBA13_MAZDA,3.0
KBA13_MERCEDES,3.0
KBA13_MOTOR,4.0
KBA13_NISSAN,3.0
KBA13_OPEL,3.0
KBA13_PEUGEOT,2.0
KBA13_RENAULT,2.0
KBA13_SEG_GELAENDEWAGEN,3.0
KBA13_SEG_GROSSRAUMVANS,5.0
KBA13_SEG_KLEINST,2.0
KBA13_SEG_KLEINWAGEN,2.0
KBA13_SEG_KOMPAKTKLASSE,3.0
KBA13_SEG_MINIVANS,3.0
KBA13_SEG_MINIWAGEN,1.0
KBA13_SEG_MITTELKLASSE,3.0
KBA13_SEG_OBEREMITTELKLASSE,4.0
KBA13_SEG_OBERKLASSE,3.0
KBA13_SEG_SONSTIGE,4.0
KBA13_SEG_SPORTWAGEN,4.0
KBA13_SEG_UTILITIES,4.0
KBA13_SEG_VAN,4.0
KBA13_SEG_WOHNMOBILE,4.0
KBA13_SITZE_4,3.0
KBA13_SITZE_5,1.0
KBA13_SITZE_6,5.0
KBA13_TOYOTA,2.0
KBA13_VORB_0,4.0
KBA13_VORB_1,3.0
KBA13_VORB_1_2,3.0
KBA13_VORB_2,3.0
KBA13_VORB_3,1.0
KBA13_VW,4.0
KKK,1.0
KOMBIALTER,4.0
KONSUMNAEHE,5.0
KONSUMZELLE,0.0
LP_FAMILIE_FEIN,2.0
LP_FAMILIE_GROB,2.0
LP_LEBENSPHASE_FEIN,20.0
LP_LEBENSPHASE_GROB,5.0
LP_STATUS_GROB,5.0
MIN_GEBAEUDEJAHR,1992.0
MOBI_RASTER,3.0
MOBI_REGIO,4.0
NATIONALITAET_KZ,1.0
ONLINE_AFFINITAET,3.0
ORTSGR_KLS9,2.0
OST_WEST_KZ,W
PLZ8_ANTG1,3.0
PLZ8_ANTG2,3.0
PLZ8_ANTG3,1.0
PLZ8_ANTG4,0.0
PLZ8_BAUMAX,1.0
PLZ8_GBZ,5.0
PLZ8_HHZ,5.0
PRAEGENDE_JUGENDJAHRE,4.0
REGIOTYP,1.0
RELAT_AB,1.0
RETOURTYP_BK_S,5.0
RT_KEIN_ANREIZ,1.0
RT_SCHNAEPPCHEN,5.0
RT_UEBERGROESSE,3.0
SEMIO_DOM,1
SEMIO_ERL,3
SEMIO_FAM,5
SEMIO_KAEM,1
SEMIO_KRIT,3
SEMIO_KULT,4
SEMIO_LUST,7
SEMIO_MAT,6
SEMIO_PFLICHT,2
SEMIO_RAT,1
SEMIO_REL,2
SEMIO_SOZ,6
SEMIO_TRADV,1
SEMIO_VERT,6
SHOPPER_TYP,3.0
SOHO_KZ,0.0
STRUKTURTYP,3.0
UMFELD_ALT,4.0
UMFELD_JUNG,4.0
UNGLEICHENN_FLAG,0.0
VERDICHTUNGSRAUM,8.0
VERS_TYP,1.0
VHA,0.0
VHN,3.0
VK_DHT4A,5.0
VK_DISTANZ,3.0
VK_ZG11,2.0
W_KEIT_KIND_HH,6.0
WOHNLAGE,7.0
ZABEOTYP,3
PRODUCT_GROUP,COSMETIC_AND_FOOD
CUSTOMER_GROUP,MULTI_BUYER
ONLINE_PURCHASE,0
ANREDE_KZ,1
ALTERSKATEGORIE_GROB,4.0
